NAME,income,population,state,county,tract,GEOID20,area_x,city,OBJECTID_1,OBJECTID,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,CBSA10,METRO_NAME,HRS2020,RHRS20,Shape_Leng,Shape_Area,EQINTER20,area_y
"Census Tract 220, Bronx County, New York",381.0,1985.0, New York,005,022000,36005022000,Census Tract 220, Bronx County,8749,10719,228610.0,0.0,40.8433426,-73.872429,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.03535760979,2.440995e-05,3,228608
"Census Tract 221.01, Bronx County, New York",1006.0,3908.0, New York,005,022101,36005022101,Census Tract 221.01, Bronx County,9955,12041,68119.0,0.0,40.8382778,-73.9181232,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01223720457,7.27288e-06,3,68118
"Census Tract 221.02, Bronx County, New York",1306.0,5433.0, New York,005,022102,36005022102,Census Tract 221.02, Bronx County,9768,11832,78293.0,0.0,40.8376586,-73.9160957,35620.0,"New York-Newark-Jersey City, N",2.202916,2.2,0.01238151091,8.35906e-06,2,78292
"Census Tract 222, Bronx County, New York",622.0,3064.0, New York,005,022200,36005022200,Census Tract 222, Bronx County,9994,12080,221189.0,0.0,40.8356878,-73.855205,35620.0,"New York-Newark-Jersey City, N",2.969321,3.0,0.03110469972,2.36149e-05,3,221187
"Census Tract 223, Bronx County, New York",1433.0,5168.0, New York,005,022300,36005022300,Census Tract 223, Bronx County,8751,10721,92765.0,0.0,40.8405251,-73.9150885,35620.0,"New York-Newark-Jersey City, N",2.549256,2.5,0.01298153876,9.90467e-06,3,92765
"Census Tract 224.03, Bronx County, New York",682.0,2920.0, New York,005,022403,36005022403,Census Tract 224.03, Bronx County,9974,12060,124850.0,0.0,40.8564761,-73.8654307,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01831452499,1.333368e-05,3,124851
"Census Tract 224.04, Bronx County, New York",1048.0,4384.0, New York,005,022404,36005022404,Census Tract 224.04, Bronx County,9930,12008,92720.0,0.0,40.8527445,-73.8663009,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01227020619,9.90179e-06,3,92721
"Census Tract 225, Bronx County, New York",1818.0,8937.0, New York,005,022500,36005022500,Census Tract 225, Bronx County,8752,10722,180022.0,0.0,40.8401399,-73.910972,35620.0,"New York-Newark-Jersey City, N",2.568753,2.6,0.0180924807,1.922118e-05,3,180022
"Census Tract 227.01, Bronx County, New York",1132.0,4748.0, New York,005,022701,36005022701,Census Tract 227.01, Bronx County,7557,9335,117193.0,0.0,40.8468041,-73.9110601,35620.0,"New York-Newark-Jersey City, N",2.590946,2.6,0.01625057227,1.251411e-05,3,117193
"Census Tract 227.02, Bronx County, New York",396.0,1494.0, New York,005,022702,36005022702,Census Tract 227.02, Bronx County,8753,10723,47372.0,0.0,40.8444792,-73.9132689,35620.0,"New York-Newark-Jersey City, N",2.616039,2.6,0.01267403655,5.05837e-06,3,47373
"Census Tract 227.03, Bronx County, New York",366.0,1858.0, New York,005,022703,36005022703,Census Tract 227.03, Bronx County,7787,9621,38660.0,0.0,40.8440365,-73.9105204,35620.0,"New York-Newark-Jersey City, N",2.189259,2.2,0.00811990214,4.128e-06,2,38660
"Census Tract 228, Bronx County, New York",1674.0,6238.0, New York,005,022800,36005022800,Census Tract 228, Bronx County,7612,9392,172197.0,0.0,40.8534896,-73.8635363,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.0197154926,1.838917e-05,3,172195
"Census Tract 229.01, Bronx County, New York",1143.0,5196.0, New York,005,022901,36005022901,Census Tract 229.01, Bronx County,7788,9622,121893.0,0.0,40.8460928,-73.9072191,35620.0,"New York-Newark-Jersey City, N",2.53416,2.5,0.01646117158,1.301599e-05,3,121895
"Census Tract 229.02, Bronx County, New York",598.0,3416.0, New York,005,022902,36005022902,Census Tract 229.02, Bronx County,7600,9380,91601.0,0.0,40.8437952,-73.9071529,35620.0,"New York-Newark-Jersey City, N",2.993919,3.0,0.01355665954,9.78078e-06,3,91600
"Census Tract 197, Bronx County, New York",1508.0,7126.0, New York,005,019700,36005019700,Census Tract 197, Bronx County,8736,10706,148088.0,0.0,40.8352051,-73.9199778,35620.0,"New York-Newark-Jersey City, N",2.62268,2.6,0.01738717293,1.581052e-05,3,148089
"Census Tract 230, Bronx County, New York",710.0,2821.0, New York,005,023000,36005023000,Census Tract 230, Bronx County,7789,9623,159383.0,0.0,40.8492873,-73.8660154,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.02088400589,1.701998e-05,3,159385
