ct2010,count,NAME,income,population,state,county,tract,GEOID20,area_x,city,OBJECTID_1,OBJECTID,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,CBSA10,METRO_NAME,HRS2020,RHRS20,Shape_Leng,Shape_Area,EQINTER20,area_y,area_code
33.0,2065,"Census Tract 33, Kings County, New York",791.0,4479.0, New York,47,3300,36047003300,Census Tract 33, Kings County,9749,11812,164585.0,0.0,40.6885112,-73.9781063,35620.0,"New York-Newark-Jersey City, N",3.626889,3.6,0.0213138325,1.753348e-05,4,164585,33.0
33.0,2065,"Census Tract 33, Richmond County, New York",827.0,3622.0, New York,85,3300,36085003300,Census Tract 33, Richmond County,8124,9995,852475.0,0.0,40.6255983,-74.086618,35620.0,"New York-Newark-Jersey City, N",2.46127,2.5,0.05725427363,9.073109e-05,2,852474,33.0
34.0,1222,"Census Tract 34, Kings County, New York",829.0,3306.0, New York,47,3400,36047003400,Census Tract 34, Kings County,7548,9326,477399.0,2570730.0,40.6404176,-74.0334392,35620.0,"New York-Newark-Jersey City, N",2.0,2.0,0.07803622645,0.00032449868,2,3048130,34.0
34.0,1222,"Census Tract 34, New York County, New York",871.0,6648.0, New York,61,3400,36061003400,Census Tract 34, New York County,8658,10618,160257.0,0.0,40.7290092,-73.9814618,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01772185004,1.708269e-05,4,160257,34.0
34.0,1222,"Census Tract 34, Queens County, New York",520.0,2545.0, New York,81,3400,36081003400,Census Tract 34, Queens County,10096,12198,213987.0,0.0,40.6847731,-73.8581871,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.03574962438,2.279501e-05,3,213986,34.0
35.0,275,"Census Tract 35, Bronx County, New York",1007.0,3738.0, New York,5,3500,36005003500,Census Tract 35, Bronx County,8824,10805,142005.0,0.0,40.8109651,-73.9086696,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01801266137,1.515528e-05,4,142003,35.0
35.0,275,"Census Tract 35, Kings County, New York",429.0,2080.0, New York,47,3500,36047003500,Census Tract 35, Kings County,9724,11787,133028.0,0.0,40.6853252,-73.9761803,35620.0,"New York-Newark-Jersey City, N",3.014088,3.0,0.0160541402,1.417109e-05,3,133029,35.0
36.0,1476,"Census Tract 36, Kings County, New York",824.0,3465.0, New York,47,3600,36047003600,Census Tract 36, Kings County,9685,11746,125291.0,0.0,40.6346861,-74.0308979,35620.0,"New York-Newark-Jersey City, N",1.88856,1.9,0.01528510307,1.333682e-05,2,125291,36.0
36.0,1476,"Census Tract 36, Queens County, New York",738.0,3550.0, New York,81,3600,36081003600,Census Tract 36, Queens County,10100,12203,180006.0,0.0,40.6837714,-73.8568176,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.03231472113,1.917504e-05,3,180006,36.0
36.0,1476,"Census Tract 36, Richmond County, New York",750.0,2965.0, New York,85,3600,36085003600,Census Tract 36, Richmond County,8596,10550,409183.0,0.0,40.6110687,-74.0759,35620.0,"New York-Newark-Jersey City, N",3.915248,3.9,0.03259360708,4.354094e-05,4,409181,36.0
