census,county,state,income,population,tract,GEOID20,OBJECTID_1,OBJECTID,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,CBSA10,METRO_NAME,HRS2020,RHRS20,Shape_Leng,Shape_Area,EQINTER20,area
181.0,Kings County,New York,671.0,3785.0,018100,36047018100,9601,11661,169374.0,0.0,40.6877689,-73.9723701,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01742108116,1.804346e-05,3,169374
182.0,Kings County,New York,841.0,3421.0,018200,36047018200,7576,9356,165463.0,0.0,40.6124597,-74.0026813,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01766178175,1.760736e-05,3,165463
183.0,Kings County,New York,510.0,2663.0,018300,36047018300,7577,9357,137311.0,0.0,40.691376,-73.9714779,35620.0,"New York-Newark-Jersey City, N",3.666285,3.7,0.01552865103,1.462856e-05,4,137311
184.0,Kings County,New York,710.0,2318.0,018400,36047018400,9676,11737,149139.0,0.0,40.6137054,-74.0071446,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.0166446813,1.587039e-05,3,149138
185.01,Kings County,New York,887.0,4130.0,018501,36047018501,7578,9358,111097.0,0.0,40.6947866,-73.9741567,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01408103026,1.183642e-05,4,111097
186.0,Kings County,New York,543.0,2255.0,018600,36047018600,7579,9359,113054.0,0.0,40.6156439,-74.0051063,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01512818335,1.203095e-05,3,113055
187.0,Kings County,New York,300.0,1459.0,018700,36047018700,7580,9360,85768.0,0.0,40.6946579,-73.9706403,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01222271017,9.1377e-06,4,85767
188.0,Kings County,New York,821.0,2905.0,018800,36047018800,9703,11766,175213.0,0.0,40.6174779,-74.00274,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01861396197,1.864621e-05,3,175213
190.0,Kings County,New York,1163.0,4543.0,019000,36047019000,7581,9361,212934.0,0.0,40.621038,-74.0003857,35620.0,"New York-Newark-Jersey City, N",3.324351,3.3,0.02021519238,2.266151e-05,4,212933
191.0,Kings County,New York,530.0,2964.0,019100,36047019100,7582,9362,253797.0,0.0,40.6952427,-73.9644277,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.02543203564,2.704038e-05,4,253800
192.0,Kings County,New York,532.0,2716.0,019200,36047019200,7583,9363,189790.0,0.0,40.6284585,-73.9989281,35620.0,"New York-Newark-Jersey City, N",3.978166,4.0,0.01838873679,2.020073e-05,4,189790
193.0,Kings County,New York,860.0,6140.0,019300,36047019300,9605,11665,269732.0,0.0,40.6912794,-73.9626407,35620.0,"New York-Newark-Jersey City, N",3.876683,3.9,0.02195522911,2.873619e-05,4,269732
194.0,Kings County,New York,887.0,3465.0,019400,36047019400,9555,11615,178420.0,0.0,40.6258369,-74.0011077,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01989627617,1.89898e-05,4,178420
195.0,Kings County,New York,595.0,3128.0,019500,36047019500,9568,11628,137028.0,0.0,40.6914102,-73.9674997,35620.0,"New York-Newark-Jersey City, N",3.711782,3.7,0.01533533886,1.459833e-05,4,137027
196.0,Kings County,New York,991.0,4238.0,019600,36047019600,7584,9364,188308.0,0.0,40.6234234,-74.004185,35620.0,"New York-Newark-Jersey City, N",3.285154,3.3,0.0183520865,2.004145e-05,4,188307
197.0,Kings County,New York,844.0,3669.0,019700,36047019700,7585,9365,169819.0,0.0,40.6880022,-73.9667469,35620.0,"New York-Newark-Jersey City, N",3.040783,3.0,0.02021862189,1.809086e-05,3,169818
198.0,Kings County,New York,460.0,1877.0,019800,36047019800,7586,9366,134715.0,0.0,40.6193594,-74.0066177,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01668895352,1.433683e-05,3,134716
199.0,Kings County,New York,746.0,3769.0,019900,36047019900,7587,9367,188914.0,0.0,40.6840329,-73.9669265,35620.0,"New York-Newark-Jersey City, N",3.600478,3.6,0.01837883416,2.012395e-05,4,188914
200.0,Kings County,New York,607.0,2296.0,020000,36047020000,7588,9368,134858.0,0.0,40.620689,-74.0088197,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01669291422,1.435229e-05,3,134858
201.0,Kings County,New York,669.0,3940.0,020100,36047020100,7731,9551,175379.0,0.0,40.6838477,-73.9633875,35620.0,"New York-Newark-Jersey City, N",3.526137,3.5,0.01868095824,1.868211e-05,4,175379
202.0,Kings County,New York,492.0,1963.0,020200,36047020200,9609,11669,134828.0,0.0,40.62202,-74.0110215,35620.0,"New York-Newark-Jersey City, N",2.093302,2.1,0.01669370217,1.434947e-05,2,134829
203.0,Kings County,New York,357.0,1773.0,020300,36047020300,7589,9369,140848.0,0.0,40.6799568,-73.9648123,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01735070659,1.500283e-05,4,140847
204.0,Kings County,New York,499.0,1710.0,020400,36047020400,7590,9370,134801.0,0.0,40.6233502,-74.0132239,35620.0,"New York-Newark-Jersey City, N",2.0,2.0,0.01669190254,1.434675e-05,2,134801
205.0,Kings County,New York,627.0,3164.0,020500,36047020500,9747,11810,159711.0,0.0,40.6774755,-73.9657037,35620.0,"New York-Newark-Jersey City, N",3.034882,3.0,0.01786076624,1.701148e-05,3,159711
206.0,Kings County,New York,690.0,2355.0,020600,36047020600,7591,9371,170942.0,0.0,40.6248807,-74.0154509,35620.0,"New York-Newark-Jersey City, N",2.0,2.0,0.01895508641,1.819368e-05,2,170942
207.0,Kings County,New York,1209.0,4490.0,020700,36047020700,7592,9372,137892.0,0.0,40.6749547,-73.9666124,35620.0,"New York-Newark-Jersey City, N",2.0,2.0,0.01946082343,1.468705e-05,2,137894
