ct2010,building count,census,county,state,income,population,tract,GEOID20,INTPTLAT20,INTPTLON20
65.0,1289,65.0,Bronx County,New York,1071.0,5394.0,6500,36005006500,40.8173983,-73.9216592
65.0,1289,65.0,Kings County,New York,1626.0,5846.0,6500,36047006500,40.6790828,-73.9994592
65.0,1289,65.0,New York County,New York,502.0,6112.0,6500,36061006500,40.7299685,-73.9995773
65.01,262,65.01,Queens County,New York,692.0,3186.0,6501,36081006501,40.7680444,-73.9176747
65.02,439,65.02,Queens County,New York,636.0,3796.0,6502,36081006502,40.7667951,-73.9151194
66.0,475,66.0,Kings County,New York,1081.0,3625.0,6600,36047006600,40.6321309,-74.0274985
66.0,475,66.0,New York County,New York,1972.0,11916.0,6600,36061006600,40.7400705,-73.9792317
67.0,1927,67.0,Bronx County,New York,1746.0,6682.0,6700,36005006700,40.8195023,-73.9181767
67.0,1927,67.0,Kings County,New York,988.0,3980.0,6700,36047006700,40.6841758,-73.9972232
67.0,1927,67.0,New York County,New York,664.0,5165.0,6700,36061006700,40.7304513,-74.0041204
67.0,1927,67.0,Richmond County,New York,738.0,2529.0,6700,36085006700,40.6355428,-74.1012037
68.0,943,68.0,Bronx County,New York,704.0,3147.0,6800,36005006800,40.8289669,-73.870482
68.0,943,68.0,Kings County,New York,1067.0,4559.0,6800,36047006800,40.6351749,-74.0262304
68.0,943,68.0,New York County,New York,1006.0,7744.0,6800,36061006800,40.7404366,-73.9840803
69.0,1280,69.0,Bronx County,New York,1707.0,7370.0,6900,36005006900,40.8218666,-73.9157567
69.0,1280,69.0,Queens County,New York,836.0,3785.0,6900,36081006900,40.7715037,-73.9221645
70.0,3303,70.0,Bronx County,New York,964.0,4469.0,7000,36005007000,40.8298152,-73.8656233
70.0,3303,70.0,Kings County,New York,559.0,2392.0,7000,36047007000,40.6381971,-74.0242975
71.0,1103,71.0,Bronx County,New York,731.0,2877.0,7100,36005007100,40.8182214,-73.9128301
71.0,1103,71.0,Kings County,New York,1049.0,4430.0,7100,36047007100,40.683021,-73.9861157
71.0,1103,71.0,New York County,New York,854.0,5337.0,7100,36061007100,40.7354477,-73.9999139
71.0,1103,71.0,Queens County,New York,553.0,3211.0,7100,36081007100,40.7690847,-73.9230484
72.0,813,72.0,Bronx County,New York,1305.0,6448.0,7200,36005007200,40.8310478,-73.8606925
72.0,813,72.0,Kings County,New York,433.0,1738.0,7200,36047007200,40.6402978,-74.0204135
72.0,813,72.0,New York County,New York,1056.0,7534.0,7200,36061007200,40.7448656,-73.9808585
73.0,763,73.0,Bronx County,New York,1070.0,4229.0,7300,36005007300,40.8146752,-73.909389
73.0,763,73.0,New York County,New York,872.0,5807.0,7300,36061007300,40.7341146,-74.0041065
73.0,763,73.0,Queens County,New York,689.0,3863.0,7300,36081007300,40.766995,-73.9253701
74.0,1955,74.0,Bronx County,New York,825.0,3494.0,7400,36005007400,40.8194734,-73.8528608
74.0,1955,74.0,Kings County,New York,1236.0,5328.0,7400,36047007400,40.6418552,-74.0170288
74.0,1955,74.0,Richmond County,New York,1139.0,4494.0,7400,36085007400,40.5915459,-74.0629365
75.0,2262,75.0,Bronx County,New York,1520.0,6345.0,7500,36005007500,40.8187768,-73.9086237
75.0,2262,75.0,Kings County,New York,1049.0,4798.0,7500,36047007500,40.6812953,-73.9920163
75.0,2262,75.0,Queens County,New York,760.0,3982.0,7500,36081007500,40.7645436,-73.9273299
75.0,2262,75.0,Richmond County,New York,931.0,4551.0,7500,36085007500,40.6335987,-74.0909457
76.0,1073,76.0,Bronx County,New York,1152.0,5136.0,7600,36005007600,40.833375,-73.8676557
